URN,Platform,Forecourt Brand,Site Name,Address,Suburb,State,Postcode,Lat,Long,Status,Metro/Regional,Highway Site,Truck Forecourt,Semi-Trailer Accessible,B Double Accessible,Road Train Accessible,Diesel,High Flow Diesel,Ultra High Flow Diesel,Adblue at Pump,Adblue by Pack,Truck Parking,Showers,Truckers Lounge,Shell Card Accepted,Trading Hours (24 x 7 Site)
B545,Liberty Oil Convenience (LOC),Shell,SHELL BROCKLEHURST UNMANNED,4-6 BURRAWAY ROAD,BROCKLEHURST,NSW,2830,-32.180924,148.621639,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
B782,Alliance,Shell,SHELL COLES EXPRESS BULAHDELAH,42 BULAHDELAH WAY,BULAHDELAH,NSW,2423,-32.409821,152.211219,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No
X072,Liberty Oil Australia,Shell,SHELL BURONGA,141 STURT HGHWAY,BURONGA,NSW,2739,-34.17381662,142.1928973,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
A982,Viva Direct (DO),Shell,SHELL CHIPPING NORTON,7-9 NEWBRIDGE ROAD,CHIPPING NORTON,NSW,2170,-33.9285849,150.9771676,Open,Metro,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,,,Yes,Yes
B930,Viva Direct (DO),Shell,SHELL COONAMBLE ROADHOUSE,121 CASTLEREAGH STREET,COONAMBLE,NSW,2829,-30.96146702,148.3903822,Open,Regional,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
B882,Viva Direct (DO),Shell,SHELL CRANEBROOK,1 CRANEBROOK RD,CRANEBROOK,NSW,2749,-33.689812,150.727426,Open,Regional,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
X270,Liberty Oil Australia,Liberty,LIBERTY DAROOBALGIE UNMANNED,60 BACK YAMMA RD,DAROOBALGIE,NSW,2870,-33.32318627,148.0727876,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,,,Yes,Yes
E092,Alliance,Shell,SHELL COLES EXPRESS DENILIQUIN NORTH,336 VICTORIA STREET,DENILIQUIN,NSW,2710,-35.52358263,144.9806576,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
B777,Alliance,Shell,SHELL COLES EXPRESS WEST DUBBO,WHYLANDRA ST & VICTORIA ST,DUBBO,NSW,2830,-32.247437,148.593708,Open,Regional,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes
B677,Alliance,Shell,SHELL COLES EXPRESS EASTERN CREEK,611 GREAT WESTERN HWY (CNR BRABHAM DRV),EASTERN CREEK,NSW,2766,-33.792175,150.870217,Open,Metro,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
A176,Viva Direct (DO),Shell,SHELL FORBES,34 SHERIFF STREET,FORBES,NSW,2871,-33.386479,148.009828,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
A033,Viva Direct (DO),Shell,SHELL FREEMANS WATERHOLE,890 FREEMANS DRIVE,FREEMANS WATERHOLE,NSW,2323,-32.985811,151.487089,Open,Regional,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
